date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:35:04	211684/211684	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Apr%202023%2014:57:34%20GMT	https://www.estorefactory.com/portfolio/page/23/	E:/Dawnloads/estore/www.estorefactory.com/portfolio/page/23/index.html	(from https://www.estorefactory.com/portfolio/page/25/)
02:35:04	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Apr%202023%2021:05:01%20GMT	https://www.estorefactory.com/portfolio/before-after-7//	E:/Dawnloads/estore/www.estorefactory.com/portfolio/before-after-7/index.html	(from https://www.estorefactory.com/portfolio/page/25/)
02:35:04	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Apr%202023%2021:05:02%20GMT	https://www.estorefactory.com/portfolio/before-after-6//	E:/Dawnloads/estore/www.estorefactory.com/portfolio/before-after-6/index.html	(from https://www.estorefactory.com/portfolio/page/25/)
02:35:04	350/350	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Apr%202023%2021:05:04%20GMT	https://www.estorefactory.com/portfolio/page/24/t.src	E:/Dawnloads/estore/www.estorefactory.com/portfolio/page/24/t.src	(from https://www.estorefactory.com/portfolio/page/24/)
02:35:07	36944/36944	---M-Z	410	error ('Gone')	text/html	date:Thu,%2013%20Apr%202023%2021:05:05%20GMT	https://www.estorefactory.com/portfolio/page/24/t.src/	E:/Dawnloads/estore/www.estorefactory.com/portfolio/page/24/t.src/index.html	(from https://www.estorefactory.com/portfolio/page/24/)
02:35:07	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Apr%202023%2021:05:05%20GMT	https://www.estorefactory.com/portfolio/infographic-11//	E:/Dawnloads/estore/www.estorefactory.com/portfolio/infographic-11/index.html	(from https://www.estorefactory.com/portfolio/page/24/)
02:35:07	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Apr%202023%2021:05:05%20GMT	https://www.estorefactory.com/portfolio/infographic-10//	E:/Dawnloads/estore/www.estorefactory.com/portfolio/infographic-10/index.html	(from https://www.estorefactory.com/portfolio/page/24/)
02:35:07	153594/153594	---MCZ	200	added ('OK')	image/jpeg	date:Fri,%2006%20Nov%202020%2008:10:33%20GMT	https://www.estorefactory.com/wp-content/uploads/2020/11/Infographic_8.jpg	E:/Dawnloads/estore/www.estorefactory.com/wp-content/uploads/2020/11/Infographic_8.jpg	(from https://www.estorefactory.com/portfolio/page/24/)
02:35:13	142285/142285	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2005%20Nov%202020%2004:42:46%20GMT	https://www.estorefactory.com/wp-content/uploads/2020/11/Infographic_7.jpg	E:/Dawnloads/estore/www.estorefactory.com/wp-content/uploads/2020/11/Infographic_7.jpg	(from https://www.estorefactory.com/portfolio/page/24/)
02:35:13	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Apr%202023%2021:05:07%20GMT	https://www.estorefactory.com/portfolio/infographic-9//	E:/Dawnloads/estore/www.estorefactory.com/portfolio/infographic-9/index.html	(from https://www.estorefactory.com/portfolio/page/24/)
02:35:13	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Apr%202023%2021:05:08%20GMT	https://www.estorefactory.com/portfolio/infographic-8//	E:/Dawnloads/estore/www.estorefactory.com/portfolio/infographic-8/index.html	(from https://www.estorefactory.com/portfolio/page/24/)
02:35:14	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Apr%202023%2021:05:08%20GMT	https://www.estorefactory.com/portfolio/infographic-7//	E:/Dawnloads/estore/www.estorefactory.com/portfolio/infographic-7/index.html	(from https://www.estorefactory.com/portfolio/page/24/)
02:35:16	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Apr%202023%2021:05:15%20GMT	https://www.estorefactory.com/portfolio/infographic-6//	E:/Dawnloads/estore/www.estorefactory.com/portfolio/infographic-6/index.html	(from https://www.estorefactory.com/portfolio/page/24/)
02:35:16	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Apr%202023%2021:05:15%20GMT	https://www.estorefactory.com/portfolio/infographic-5//	E:/Dawnloads/estore/www.estorefactory.com/portfolio/infographic-5/index.html	(from https://www.estorefactory.com/portfolio/page/24/)
